0	-0.224873	0.125319	0.499697	0.99994	-0.000144082	0.0109743	172	206	-0.285005	0.0252789
0.037	-0.224799	0.12543	0.499549	0.99953	-0.00106586	0.0306364	184	220	-0.290766	0.0257452
0.042	-0.225279	0.124131	0.499361	0.998847	-0.00245083	0.0479512	195	224	-0.298234	0.0314822
0.05	-0.226808	0.120541	0.499166	0.99815	-0.00367525	0.0606841	204	223	-0.306339	0.0325566
0.059	-0.229734	0.114372	0.498804	0.997614	-0.0044513	0.0688961	209	220	-0.312647	0.026688
0.041	-0.234329	0.105762	0.498418	0.997366	-0.00472716	0.0723855	212	210	-0.32032	0.0248432
0.054	-0.240718	0.0950705	0.497925	0.997434	-0.00463859	0.0714457	212	197	-0.327702	0.0237154
0.046	-0.24893	0.0827321	0.497495	0.99776	-0.00437475	0.0667494	209	181	-0.334405	0.0242097
0.054	-0.258879	0.0692451	0.497043	0.998266	-0.00411022	0.0587219	205	164	-0.342766	0.0245239
0.047	-0.270394	0.0551791	0.496722	0.998821	-0.00400057	0.0483824	198	147	-0.349267	0.0244298
0.055	-0.283235	0.0411028	0.496419	0.999329	-0.00413466	0.0363871	190	131	-0.356156	0.023737
0.046	-0.297116	0.0275931	0.496256	0.999719	-0.0045344	0.0232487	181	116	-0.362978	0.0236389
0.057	-0.311715	0.0151228	0.49609	0.999939	-0.00516082	0.00977144	172	103	-0.370553	0.0233178
0.044	-0.326687	0.00410981	0.496024	0.999977	-0.00592126	-0.00317197	163	92	-0.37823	0.0232762
0.056	-0.341704	-0.0051582	0.49591	0.999866	-0.00671112	-0.0149194	154	84	-0.38544	0.0223086
0.045	-0.356452	-0.0124546	0.495852	0.999654	-0.00744875	-0.0252077	145	79	-0.391786	0.0207726
0.055	-0.370668	-0.0176782	0.495713	0.999386	-0.00809044	-0.0340899	138	76	-0.39987	0.0202367
0.046	-0.384104	-0.0208083	0.495614	0.99912	-0.00856265	-0.0410638	131	76	-0.406368	0.0190851
0.055	-0.396574	-0.0219364	0.495435	0.998901	-0.00884967	-0.046021	126	78	-0.413876	0.0183346
0.039	-0.407926	-0.0212117	0.495312	0.998762	-0.00896344	-0.048939	122	82	-0.420798	0.0176423
0.057	-0.418073	-0.0188582	0.495133	0.998721	-0.00893082	-0.0497752	119	88	-0.427031	0.0164005
0.043	-0.42697	-0.0151372	0.495038	0.998767	-0.00880798	-0.0488653	118	96	-0.434115	0.0142017
0.06	-0.434629	-0.0103416	0.494914	0.998893	-0.00864149	-0.0462504	119	104	-0.442074	0.0134536
0.04	-0.44109	-0.00480041	0.494895	0.999094	-0.00846882	-0.0416992	121	113	-0.449433	0.0120279
0.063	-0.446455	0.00115495	0.494862	0.999335	-0.00833933	-0.0354874	124	122	-0.45641	0.0106311
0.037	-0.450864	0.00719837	0.494941	0.999567	-0.00828667	-0.0282355	128	132	-0.463431	0.00741167
0.056	-0.454494	0.0130454	0.495002	0.999757	-0.00832559	-0.0203921	132	140	-0.469387	0.00642931
0.044	-0.457541	0.018414	0.495165	0.999886	-0.00844562	-0.0125423	137	148	-0.476196	0.00431006
0.058	-0.460201	0.0230713	0.495292	0.999951	-0.0086286	-0.00493152	143	155	-0.484143	0.00200748
0.042	-0.462666	0.0268225	0.4955	0.999957	-0.00886569	0.00265498	148	161	-0.490448	-0.000574575
0.058	-0.465124	0.0295356	0.495653	0.99991	-0.00912536	0.00978865	154	165	-0.49835	-0.00212118
0.042	-0.467764	0.0311053	0.495869	0.999824	-0.00938203	0.0162405	159	168	-0.505297	-0.00428763
0.059	-0.470749	0.0314905	0.496015	0.999715	-0.00961353	0.0218532	163	170	-0.511522	-0.00715885
0.041	-0.474239	0.030696	0.496215	0.999613	-0.00978368	0.0260574	166	171	-0.517461	-0.0104556
0.059	-0.478349	0.0287771	0.496342	0.999543	-0.00988476	0.0285793	169	170	-0.524763	-0.0125004
0.041	-0.483161	0.0258056	0.496524	0.999508	-0.00993565	0.0297419	171	168	-0.531962	-0.0146994
0.054	-0.48871	0.0218852	0.496638	0.999504	-0.00995808	0.0298644	171	165	-0.537505	-0.0170281
0.054	-0.495016	0.0171532	0.496814	0.999542	-0.00994959	0.0285664	171	161	-0.544448	-0.0190923
0.042	-0.502057	0.0117703	0.49693	0.999613	-0.00993464	0.0259962	170	157	-0.551258	-0.0220415
0.055	-0.50978	0.00591908	0.497116	0.999695	-0.00993441	0.0226063	168	153	-0.557677	-0.0254031
0.055	-0.518106	-0.000219576	0.497249	0.999779	-0.00996077	0.0184938	165	149	-0.56356	-0.0287625
0.04	-0.526941	-0.00647172	0.497454	0.999857	-0.0100176	0.0136605	162	146	-0.570272	-0.0332317
0.055	-0.536168	-0.0126914	0.497605	0.999913	-0.010109	0.00845877	158	142	-0.576053	-0.0356851
0.055	-0.545661	-0.0187594	0.497825	0.999943	-0.010228	0.00311055	154	140	-0.582178	-0.0404818
0.04	-0.555287	-0.0245839	0.497987	0.999944	-0.010373	-0.00222205	150	137	-0.588391	-0.0431668
